time,tavg,prcp,wdir,wspd,pres
2010-01-01,-0.2,0.0,16.0,18.3,1001.5
2010-01-02,-0.7,0.0,,9.5,1015.6
2010-01-03,-1.4,,42.0,13.8,1021.5
2010-01-04,-4.1,0.3,211.0,9.8,1018.5
2010-01-05,-2.8,0.0,189.0,6.6,1007.5
2010-01-06,-4.5,0.0,158.0,6.7,1003.9
2010-01-07,-6.1,0.0,186.0,4.2,1009.7
2010-01-08,-5.2,0.0,45.0,19.9,1018.9
2010-01-09,-1.9,0.0,42.0,32.0,1017.2
2010-01-10,-0.8,0.0,53.0,14.0,1015.5
2010-01-11,-0.5,0.0,53.0,5.4,1019.0
2010-01-12,-0.6,0.0,,9.7,1012.3
2010-01-13,-0.3,0.0,126.0,11.0,1001.9
2010-01-14,2.7,1.5,110.0,10.1,1005.5
2010-01-15,1.1,0.0,,8.3,1019.8
2010-01-16,2.1,0.0,175.0,23.8,1013.3
2010-01-17,5.4,12.2,263.0,15.5,1015.2
2010-01-18,4.6,0.0,219.0,10.8,1025.9
2010-01-19,3.6,0.0,161.0,7.7,1023.1
2010-01-20,2.0,0.0,118.0,8.7,1013.2
2010-01-21,2.6,0.3,,4.6,1019.8
2010-01-22,2.6,0.3,160.0,14.1,1021.9
2010-01-23,2.9,0.0,170.0,13.9,1021.2
2010-01-24,2.7,10.2,,6.5,1022.8
2010-01-25,1.1,0.3,2.0,10.3,1029.4
2010-01-26,-2.1,0.0,43.0,14.4,1038.3
2010-01-27,-2.0,0.0,242.0,12.6,1030.4
2010-01-28,3.6,2.8,294.0,16.8,1011.1
2010-01-29,2.9,2.8,280.0,18.1,992.1
2010-01-30,0.2,7.4,305.0,17.1,997.2
2010-01-31,-0.1,1.3,251.0,14.8,1005.8
2010-02-01,0.9,0.0,275.0,18.5,1011.8
2010-02-02,3.3,0.0,234.0,23.2,1009.6
2010-02-03,4.1,5.6,257.0,10.4,1009.5
2010-02-04,6.6,3.3,183.0,15.2,1009.6
2010-02-05,6.2,0.8,189.0,12.4,1003.9
2010-02-06,4.3,3.3,80.0,12.8,1012.1
2010-02-07,3.1,0.0,300.0,6.8,1020.7
2010-02-08,1.4,0.5,59.0,11.8,1010.5
2010-02-09,-2.6,0.8,43.0,19.4,1008.4
2010-02-10,-2.1,0.0,1.0,16.3,1011.6
2010-02-11,-2.2,0.5,40.0,27.4,1015.9
2010-02-12,-2.4,0.3,30.0,17.3,1020.3
2010-02-13,-2.1,0.0,57.0,12.6,1020.0
2010-02-14,-1.6,0.0,303.0,10.0,1015.2
2010-02-15,-1.9,0.8,139.0,7.2,1007.9
2010-02-16,-0.3,0.5,176.0,17.3,999.5
2010-02-17,-0.7,0.0,,6.4,992.5
2010-02-18,3.1,0.8,202.0,15.3,993.8
2010-02-19,3.2,0.0,,,
2010-02-20,1.7,0.5,234.0,10.7,998.5
2010-02-21,2.4,1.5,190.0,15.3,997.5
2010-02-22,6.7,1.3,193.0,23.7,986.8
2010-02-23,4.4,7.9,71.0,13.4,992.0
2010-02-24,8.1,2.8,193.0,21.7,994.6
2010-02-25,9.1,5.1,205.0,25.7,991.0
2010-02-26,7.7,4.6,239.0,32.4,990.8
2010-02-27,7.6,0.3,192.0,22.5,998.1
2010-02-28,6.8,10.9,214.0,28.6,985.0
2010-03-01,4.7,7.1,285.0,13.4,1010.4
2010-03-02,3.7,0.0,,6.7,1022.0
2010-03-03,2.7,0.0,75.0,19.7,1021.4
2010-03-04,2.9,0.0,48.0,23.9,1021.3
2010-03-05,1.9,0.0,304.0,14.4,1027.9
2010-03-06,2.9,,22.0,24.1,1024.5
2010-03-07,-0.3,0.0,62.0,21.0,1031.3
