time,tavg,prcp,wspd,pres
2010-01-01,0.2,40.0,,1015.2
2010-02-01,2.6,59.0,,1003.6
2010-03-01,6.8,25.0,,1017.3
2010-04-01,10.0,26.0,,1019.4
2010-05-01,11.5,52.0,,1016.2
2010-06-01,17.3,29.0,,1016.6
2010-07-01,20.3,67.0,,1016.5
2010-08-01,17.2,132.0,14.7,1014.6
2010-09-01,14.6,75.0,12.6,1015.4
2010-10-01,10.8,82.0,,1013.9
2010-11-01,6.1,106.0,15.7,1006.4
2010-12-01,-0.4,36.0,,1013.9
2011-01-01,4.2,45.0,,1019.2
2011-02-01,5.7,41.0,16.5,1016.9
2011-03-01,7.7,11.0,,1022.2
2011-04-01,13.8,18.0,,1019.2
2011-05-01,14.5,15.0,,1018.9
2011-06-01,16.7,49.0,,1016.2
2011-07-01,16.2,74.0,12.5,1013.6
2011-08-01,17.4,116.0,,1014.0
2011-09-01,16.5,58.0,,1015.9
2011-10-01,12.4,36.0,,1019.1
2011-11-01,8.3,17.0,12.2,1019.1
2011-12-01,6.4,156.0,20.7,1013.5
2012-01-01,5.4,50.0,17.9,1021.9
2012-02-01,1.3,16.0,14.8,1029.7
2012-03-01,8.8,66.0,,1027.5
2012-04-01,8.3,113.0,16.6,1005.4
2012-05-01,14.0,42.0,,1016.2
2012-06-01,15.6,102.0,,1013.1
2012-07-01,17.3,128.0,,1015.0
2012-08-01,18.8,39.0,,1015.8
2012-09-01,14.7,21.0,12.4,1015.9
2012-10-01,11.3,143.0,,1011.2
2012-11-01,7.0,51.0,15.2,1011.7
2012-12-01,5.4,128.0,,1010.4
2013-01-01,2.1,41.0,,1014.9
2013-02-01,2.0,46.0,16.2,1017.1
2013-03-01,3.3,54.0,,1008.4
2013-04-01,9.0,25.0,17.5,1015.5
2013-05-01,11.1,77.0,,1012.5
2013-06-01,15.6,41.0,,1018.7
2013-07-01,20.2,68.0,13.6,1019.9
2013-08-01,18.7,38.0,,1018.0
2013-09-01,15.1,66.0,,1015.8
2013-10-01,12.8,117.0,,1013.5
2013-11-01,6.9,129.0,,1017.0
2013-12-01,5.8,58.0,,1018.6
2014-01-01,6.0,92.0,,1005.9
2014-02-01,6.4,74.0,19.5,1003.8
2014-03-01,8.8,28.0,,1016.8
2014-04-01,12.0,51.0,,1015.2
2014-05-01,13.5,90.0,,1015.8
2014-06-01,16.7,63.0,,1018.8
2014-07-01,19.2,98.0,,1014.9
2014-08-01,16.4,120.0,,1012.8
2014-09-01,16.7,49.0,,1019.0
2014-10-01,13.6,51.0,,1015.0
2014-11-01,8.8,60.0,12.3,1009.2
2014-12-01,4.8,62.0,,1019.8
2015-01-01,3.8,77.3,17.9,
2015-02-01,3.5,72.6,15.6,1017.2
2015-03-01,6.8,,,
2015-04-01,10.4,,13.3,1021.6
2015-05-01,13.1,,,
2015-06-01,16.4,31.5,,
2015-07-01,18.4,55.6,,
2015-08-01,18.5,,,
